ano,codigo_bairro_2010,bairro,faccao,area_bairro_m2,area_faccao_bairro_m2,percentual_area_bairro
2010,330455705022,Jardim Botânico,CV,2817694.6,0.0,0.0
2010,330455705022,Jardim Botânico,Milicia,2817694.6,0.0,0.0
2010,330455705022,Jardim Botânico,TCP,2817694.6,0.0,0.0
2010,330455705023,Gávea,ADA,2733785.645,31232.71,1.142471
2010,330455705023,Gávea,CV,2733785.645,0.0,0.0
2010,330455705023,Gávea,Milicia,2733785.645,0.0,0.0
2010,330455705023,Gávea,TCP,2733785.645,0.0,0.0
2010,330455705024,Vidigal,ADA,1781818.869,248487.879,13.945743
2010,330455705024,Vidigal,CV,1781818.869,0.0,0.0
2010,330455705024,Vidigal,Milicia,1781818.869,0.0,0.0
2010,330455705024,Vidigal,TCP,1781818.869,0.0,0.0
2010,330455705025,São Conrado,ADA,6668231.159,39173.886,0.58747
2010,330455705025,São Conrado,CV,6668231.159,0.0,0.0
2010,330455705025,São Conrado,Milicia,6668231.159,0.0,0.0
2010,330455705025,São Conrado,TCP,6668231.159,0.0,0.0
2010,330455705026,São Cristóvão,ADA,3794648.396,0.0,0.0
2010,330455705026,São Cristóvão,CV,3794648.396,321993.36,8.48546
2010,330455705026,São Cristóvão,Milicia,3794648.396,0.0,0.0
2010,330455705026,São Cristóvão,TCP,3794648.396,17826.627,0.469783
2010,330455705027,Mangueira,ADA,965517.733,0.0,0.0
2010,330455705027,Mangueira,CV,965517.733,356854.481,36.95991
2010,330455705027,Mangueira,Milicia,965517.733,0.0,0.0
2010,330455705027,Mangueira,TCP,965517.733,0.0,0.0
2010,330455705028,Benfica,ADA,1803020.832,1136.645,0.063041
2010,330455705028,Benfica,CV,1803020.832,180222.661,9.995595
2010,330455705028,Benfica,Milicia,1803020.832,0.0,0.0
2010,330455705028,Benfica,TCP,1803020.832,4753.938,0.263665
2010,330455705029,Praça da Bandeira,ADA,759082.679,0.0,0.0
2010,330455705029,Praça da Bandeira,CV,759082.679,0.0,0.0
2010,330455705029,Praça da Bandeira,Milicia,759082.679,0.0,0.0
2010,330455705029,Praça da Bandeira,TCP,759082.679,0.0,0.0
2010,330455705030,Tijuca,ADA,9943019.197,19227.095,0.193373
2010,330455705030,Tijuca,CV,9943019.197,761805.774,7.661715
2010,330455705030,Tijuca,Milicia,9943019.197,0.0,0.0
2010,330455705030,Tijuca,TCP,9943019.197,85166.149,0.856542
2010,330455705031,Alto da Boa Vista,ADA,31327174.846,0.0,0.0
2010,330455705031,Alto da Boa Vista,CV,31327174.846,214619.037,0.685089
2010,330455705031,Alto da Boa Vista,Milicia,31327174.846,2479.521,0.007915
2010,330455705031,Alto da Boa Vista,TCP,31327174.846,0.0,0.0
2010,330455705032,Maracanã,ADA,1618236.441,0.0,0.0
2010,330455705032,Maracanã,CV,1618236.441,6310.973,0.389991
2010,330455705032,Maracanã,Milicia,1618236.441,0.0,0.0
2010,330455705032,Maracanã,TCP,1618236.441,0.0,0.0
2010,330455705033,Vila Isabel,ADA,3335039.051,271270.393,8.13395
2010,330455705033,Vila Isabel,CV,3335039.051,0.0,0.0
2010,330455705033,Vila Isabel,Milicia,3335039.051,0.0,0.0
2010,330455705033,Vila Isabel,TCP,3335039.051,0.0,0.0
2010,330455705034,Andaraí,ADA,2288826.412,0.0,0.0
2010,330455705034,Andaraí,CV,2288826.412,313983.204,13.718087
2010,330455705034,Andaraí,Milicia,2288826.412,0.0,0.0
2010,330455705034,Andaraí,TCP,2288826.412,0.0,0.0
2010,330455705035,Grajaú,ADA,5666000.278,0.0,0.0
2010,330455705035,Grajaú,CV,5666000.278,262375.008,4.630692
2010,330455705035,Grajaú,Milicia,5666000.278,0.0,0.0
2010,330455705035,Grajaú,TCP,5666000.278,0.0,0.0
2010,330455705036,Manguinhos,ADA,2904792.726,157.016,0.005405
2010,330455705036,Manguinhos,CV,2904792.726,376244.55,12.952544
2010,330455705036,Manguinhos,Milicia,2904792.726,65755.991,2.263707
2010,330455705036,Manguinhos,TCP,2904792.726,0.437,1.5e-05
2010,330455705037,Bonsucesso,ADA,2246914.385,0.0,0.0
2010,330455705037,Bonsucesso,CV,2246914.385,40041.623,1.782072
2010,330455705037,Bonsucesso,Milicia,2246914.385,0.0,0.0
2010,330455705037,Bonsucesso,TCP,2246914.385,226.526,0.010082
2010,330455705038,Ramos,ADA,2803461.571,0.0,0.0
2010,330455705038,Ramos,CV,2803461.571,296736.912,10.584661
2010,330455705038,Ramos,Milicia,2803461.571,741044.949,26.433212
2010,330455705038,Ramos,TCP,2803461.571,0.0,0.0
2010,330455705039,Olaria,ADA,3777725.993,0.0,0.0
2010,330455705039,Olaria,CV,3777725.993,770200.103,20.387929
2010,330455705039,Olaria,Milicia,3777725.993,226215.576,5.988141
2010,330455705039,Olaria,TCP,3777725.993,0.0,0.0
2010,330455705040,Penha,ADA,5667327.123,0.0,0.0
2010,330455705040,Penha,CV,5667327.123,1157894.877,20.431058
2010,330455705040,Penha,Milicia,5667327.123,52428.385,0.925099
2010,330455705040,Penha,TCP,5667327.123,0.0,0.0
2010,330455705041,Penha Circular,ADA,4750762.719,0.0,0.0
2010,330455705041,Penha Circular,CV,4750762.719,583683.859,12.286108
2010,330455705041,Penha Circular,Milicia,4750762.719,237547.031,5.000187
2010,330455705041,Penha Circular,TCP,4750762.719,0.0,0.0
2010,330455705042,Brás de Pina,ADA,3512571.928,0.0,0.0
2010,330455705042,Brás de Pina,CV,3512571.928,163522.551,4.655351
2010,330455705042,Brás de Pina,Milicia,3512571.928,1106915.732,31.51297
2010,330455705042,Brás de Pina,TCP,3512571.928,11254.778,0.320414
2010,330455705043,Cordovil,ADA,3753939.247,0.0,0.0
2010,330455705043,Cordovil,CV,3753939.247,326675.008,8.702192
2010,330455705043,Cordovil,Milicia,3753939.247,225515.056,6.007424
2010,330455705043,Cordovil,TCP,3753939.247,0.0,0.0
2010,330455705044,Parada de Lucas,ADA,2297621.975,0.0,0.0
2010,330455705044,Parada de Lucas,CV,2297621.975,7297.798,0.317624
2010,330455705044,Parada de Lucas,Milicia,2297621.975,11710.614,0.509684
2010,330455705044,Parada de Lucas,TCP,2297621.975,259072.176,11.275666
2010,330455705045,Vigário Geral,ADA,3417305.816,0.0,0.0
2010,330455705045,Vigário Geral,CV,3417305.816,321721.571,9.41448
2010,330455705045,Vigário Geral,Milicia,3417305.816,0.0,0.0
2010,330455705045,Vigário Geral,TCP,3417305.816,161716.907,4.732293
2010,330455705046,Jardim América,ADA,1948170.717,0.0,0.0
2010,330455705046,Jardim América,CV,1948170.717,209897.526,10.774083
2010,330455705046,Jardim América,Milicia,1948170.717,0.0,0.0
2010,330455705046,Jardim América,TCP,1948170.717,0.0,0.0
2010,330455705047,São Francisco Xavier,ADA,665866.707,0.0,0.0
2010,330455705047,São Francisco Xavier,CV,665866.707,8657.787,1.300228
2010,330455705047,São Francisco Xavier,Milicia,665866.707,0.0,0.0
2010,330455705047,São Francisco Xavier,TCP,665866.707,0.0,0.0
2010,330455705048,Rocha,ADA,1195663.72,0.0,0.0
2010,330455705048,Rocha,CV,1195663.72,0.0,0.0
2010,330455705048,Rocha,Milicia,1195663.72,0.0,0.0
2010,330455705048,Rocha,TCP,1195663.72,0.0,0.0
2010,330455705049,Riachuelo,ADA,1007501.654,0.0,0.0
2010,330455705049,Riachuelo,CV,1007501.654,0.0,0.0
2010,330455705049,Riachuelo,Milicia,1007501.654,0.0,0.0
2010,330455705049,Riachuelo,TCP,1007501.654,0.0,0.0
2010,330455705050,Sampaio,ADA,834065.511,0.0,0.0
2010,330455705050,Sampaio,CV,834065.511,29032.545,3.480847
2010,330455705050,Sampaio,Milicia,834065.511,0.0,0.0
2010,330455705050,Sampaio,TCP,834065.511,0.0,0.0
2010,330455705051,Engenho Novo,ADA,2670486.436,1106.168,0.041422
2010,330455705051,Engenho Novo,CV,2670486.436,522982.587,19.583795
2010,330455705051,Engenho Novo,Milicia,2670486.436,872.648,0.032677
2010,330455705051,Engenho Novo,TCP,2670486.436,0.0,0.0
2010,330455705052,Lins de Vasconcelos,ADA,2795375.736,0.0,0.0
2010,330455705052,Lins de Vasconcelos,CV,2795375.736,747280.068,26.732724
2010,330455705052,Lins de Vasconcelos,Milicia,2795375.736,0.0,0.0
2010,330455705052,Lins de Vasconcelos,TCP,2795375.736,0.0,0.0
2010,330455705053,Méier,ADA,2365369.616,0.0,0.0
2010,330455705053,Méier,CV,2365369.616,83586.886,3.533777
2010,330455705053,Méier,Milicia,2365369.616,252228.789,10.663399
2010,330455705053,Méier,TCP,2365369.616,0.0,0.0
2010,330455705054,Todos os Santos,ADA,1096583.584,0.0,0.0
2010,330455705054,Todos os Santos,CV,1096583.584,0.024,2e-06
2010,330455705054,Todos os Santos,Milicia,1096583.584,19935.691,1.817982
2010,330455705054,Todos os Santos,TCP,1096583.584,0.0,0.0
2010,330455705055,Cachambi,ADA,2184248.384,0.0,0.0
2010,330455705055,Cachambi,CV,2184248.384,24161.522,1.106171
2010,330455705055,Cachambi,Milicia,2184248.384,374144.338,17.129203
2010,330455705055,Cachambi,TCP,2184248.384,0.0,0.0
2010,330455705056,Engenho de Dentro,ADA,3860558.733,0.0,0.0
2010,330455705056,Engenho de Dentro,CV,3860558.733,389340.182,10.085073
2010,330455705056,Engenho de Dentro,Milicia,3860558.733,233678.271,6.052965
2010,330455705056,Engenho de Dentro,TCP,3860558.733,0.0,0.0
2010,330455705057,Água Santa,ADA,2443119.047,0.0,0.0
2010,330455705057,Água Santa,CV,2443119.047,8827.196,0.361308
2010,330455705057,Água Santa,Milicia,2443119.047,361612.995,14.801284
2010,330455705057,Água Santa,TCP,2443119.047,0.0,0.0
2010,330455705058,Encantado,ADA,1017956.092,0.0,0.0
2010,330455705058,Encantado,CV,1017956.092,5034.295,0.494549
2010,330455705058,Encantado,Milicia,1017956.092,690812.922,67.862743
2010,330455705058,Encantado,TCP,1017956.092,0.0,0.0
2010,330455705059,Piedade,ADA,3975814.299,129708.741,3.262445
2010,330455705059,Piedade,CV,3975814.299,0.0,0.0
2010,330455705059,Piedade,Milicia,3975814.299,2423980.931,60.968163
2010,330455705059,Piedade,TCP,3975814.299,0.0,0.0
2010,330455705060,Abolição,ADA,681919.203,119.689,0.017552
2010,330455705060,Abolição,CV,681919.203,0.0,0.0
2010,330455705060,Abolição,Milicia,681919.203,22204.089,3.256117
2010,330455705060,Abolição,TCP,681919.203,0.0,0.0
2010,330455705061,Pilares,ADA,1736724.672,115844.411,6.670281
2010,330455705061,Pilares,CV,1736724.672,197072.638,11.347374
2010,330455705061,Pilares,Milicia,1736724.672,134960.44,7.770975
2010,330455705061,Pilares,TCP,1736724.672,0.0,0.0
2010,330455705062,Vila Kosmos,ADA,1459829.177,0.0,0.0
2010,330455705062,Vila Kosmos,CV,1459829.177,712008.918,48.773441
2010,330455705062,Vila Kosmos,Milicia,1459829.177,199028.106,13.633657
2010,330455705062,Vila Kosmos,TCP,1459829.177,0.0,0.0
2010,330455705063,Vicente de Carvalho,ADA,1861712.205,511574.468,27.478708
2010,330455705063,Vicente de Carvalho,CV,1861712.205,201348.48,10.815231
2010,330455705063,Vicente de Carvalho,Milicia,1861712.205,0.0,0.0
2010,330455705063,Vicente de Carvalho,TCP,1861712.205,135.146,0.007259
2010,330455705064,Vila da Penha,ADA,1459935.08,0.0,0.0
2010,330455705064,Vila da Penha,CV,1459935.08,32.071,0.002197
2010,330455705064,Vila da Penha,Milicia,1459935.08,946.811,0.064853
2010,330455705064,Vila da Penha,TCP,1459935.08,0.0,0.0
2010,330455705065,Vista Alegre,ADA,543631.474,0.0,0.0
2010,330455705065,Vista Alegre,CV,543631.474,670.515,0.12334
2010,330455705065,Vista Alegre,Milicia,543631.474,0.0,0.0
2010,330455705065,Vista Alegre,TCP,543631.474,0.0,0.0
2010,330455705066,Irajá,ADA,7756434.911,45.121,0.000582
2010,330455705066,Irajá,CV,7756434.911,151035.744,1.947232
2010,330455705066,Irajá,Milicia,7756434.911,586583.422,7.562539
2010,330455705066,Irajá,TCP,7756434.911,276837.624,3.569135
2010,330455705067,Colégio,ADA,1977696.341,299461.218,15.141921
2010,330455705067,Colégio,CV,1977696.341,0.0,0.0
2010,330455705067,Colégio,Milicia,1977696.341,0.0,0.0
2010,330455705067,Colégio,TCP,1977696.341,184338.261,9.320858
2010,330455705068,Campinho,ADA,818895.95,0.0,0.0
2010,330455705068,Campinho,CV,818895.95,0.0,0.0
2010,330455705068,Campinho,Milicia,818895.95,532720.639,65.05352
2010,330455705068,Campinho,TCP,818895.95,0.0,0.0
2010,330455705069,Quintino Bocaiúva,ADA,4327748.625,16754.555,0.387143
2010,330455705069,Quintino Bocaiúva,CV,4327748.625,14658.333,0.338706
2010,330455705069,Quintino Bocaiúva,Milicia,4327748.625,1631851.221,37.706701
2010,330455705069,Quintino Bocaiúva,TCP,4327748.625,0.0,0.0
2010,330455705070,Cavalcanti,ADA,1841740.248,203441.199,11.04614
2010,330455705070,Cavalcanti,CV,1841740.248,986.873,0.053584
2010,330455705070,Cavalcanti,Milicia,1841740.248,281693.912,15.294986
2010,330455705070,Cavalcanti,TCP,1841740.248,0.0,0.0
2010,330455705071,Engenheiro Leal,ADA,666173.029,0.0,0.0
2010,330455705071,Engenheiro Leal,CV,666173.029,69779.759,10.47472
2010,330455705071,Engenheiro Leal,Milicia,666173.029,1763.485,0.264719
2010,330455705071,Engenheiro Leal,TCP,666173.029,70.042,0.010514
2010,330455705072,Cascadura,ADA,3007879.708,0.0,0.0
2010,330455705072,Cascadura,CV,3007879.708,2564.621,0.085263
2010,330455705072,Cascadura,Milicia,3007879.708,1631535.345,54.242041
2010,330455705072,Cascadura,TCP,3007879.708,0.0,0.0
2010,330455705073,Madureira,ADA,3784149.277,0.0,0.0
2010,330455705073,Madureira,CV,3784149.277,389860.938,10.302472
2010,330455705073,Madureira,Milicia,3784149.277,594467.118,15.709399
2010,330455705073,Madureira,TCP,3784149.277,191867.567,5.070296
2010,330455705074,Vaz Lobo,ADA,1053976.763,0.0,0.0
2010,330455705074,Vaz Lobo,CV,1053976.763,20201.915,1.916733
2010,330455705074,Vaz Lobo,Milicia,1053976.763,55959.691,5.309386
2010,330455705074,Vaz Lobo,TCP,1053976.763,111474.327,10.576545
2010,330455705075,Turiaçu,ADA,1312987.215,0.0,0.0
2010,330455705075,Turiaçu,CV,1312987.215,403763.083,30.751486
2010,330455705075,Turiaçu,Milicia,1312987.215,1663.177,0.126671
2010,330455705075,Turiaçu,TCP,1312987.215,0.0,0.0
2010,330455705076,Rocha Miranda,ADA,2931197.068,465.133,0.015868
2010,330455705076,Rocha Miranda,CV,2931197.068,661631.323,22.572052
2010,330455705076,Rocha Miranda,Milicia,2931197.068,61309.828,2.091631
2010,330455705076,Rocha Miranda,TCP,2931197.068,0.0,0.0
2010,330455705077,Honório Gurgel,ADA,1291655.929,0.0,0.0
2010,330455705077,Honório Gurgel,CV,1291655.929,138373.682,10.71289
2010,330455705077,Honório Gurgel,Milicia,1291655.929,54492.693,4.218824
2010,330455705077,Honório Gurgel,TCP,1291655.929,0.0,0.0
2010,330455705078,Oswaldo Cruz,ADA,2109374.788,0.0,0.0
2010,330455705078,Oswaldo Cruz,CV,2109374.788,6228.193,0.295263
2010,330455705078,Oswaldo Cruz,Milicia,2109374.788,107608.748,5.101452
2010,330455705078,Oswaldo Cruz,TCP,2109374.788,0.0,0.0
2010,330455705079,Bento Ribeiro,ADA,3148947.915,0.0,0.0
2010,330455705079,Bento Ribeiro,CV,3148947.915,8335.575,0.26471
2010,330455705079,Bento Ribeiro,Milicia,3148947.915,28303.593,0.898827
2010,330455705079,Bento Ribeiro,TCP,3148947.915,0.0,0.0
2010,330455705080,Marechal Hermes,ADA,3842053.359,0.0,0.0
2010,330455705080,Marechal Hermes,CV,3842053.359,249965.409,6.506037
2010,330455705080,Marechal Hermes,Milicia,3842053.359,210128.912,5.469183
2010,330455705080,Marechal Hermes,TCP,3842053.359,168.517,0.004386
2010,330455705081,Jacarepaguá,ADA,74749389.951,0.0,0.0
